id,name
1,"TOSY Robotics Manufacturing Co., Ltd"
2,Hanwha Aero Engines Company Limited
3,CÔNG TY CỔ PHẦN VINSPACE
4,Công ty TNHH NEXON Creative Studio VINA
5,CÔNG TY TNHH CÔNG NGHỆ CODERPUSH
6,Deloitte Consulting SEA
7,ALUKO Group
8,CÔNG TY CỔ PHẦN VINSMART FUTURE
9,Công Ty TNHH Công Nghệ Huawei Việt Nam
10,Navigos Group
11,Công Ty TNHH Chứng Khoán Jb Việt Nam
12,Techcombank
13,MB Ageas Life Insurance Company Limited
14,Công ty TNHH Nhà Nước MTV Thương mại và XNK Viettel
15,"ISV Vietnam Co., Ltd"
16,TPF Group
17,"Toshiba Software Development (Vietnam) CO., LTD"
18,Công Ty TNHH Trace - Tec Việt Nam
19,Prudential Vietnam Assurance
20,Vietsin Commercial Complex Development JSC
21,Công Ty Cổ Phần Tin Học Viễn Thông Petrolimex (PIACOM)
22,Công Ty TNHH SEI Optifrontier Việt Nam
23,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank
24,Công Ty Cổ Phần Netnam
25,"Văn Phòng Đại Diện Kimball Furniture Group, LLC Tại Thành Phố Hồ Chí Minh"
26,One Mount
27,"Công Ty TNHH Thiết Bị Minh Tâm (Mitalab Co., Ltd)"
28,Công Ty Cổ Phần Truyền Thông Vietnamnet
29,CÔNG TY TRÁCH NHIỆM HỮU HẠN TOP ENGINEERING VINA
30,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND
31,Công Ty TNHH I.P. One (Việt Nam)
32,Vietnamworks' Client
33,Vietnam Australia International School (Vas)
34,Tổng Công Ty Bưu Điện Việt Nam - VNPOST
35,CÔNG TY TNHH LTD MATERIAL FAB
36,TMA Technology Group
37,Tập Đoàn Giáo Dục Và Đào Tạo Quốc Tế Đại Tây Dương - Atlantic Group
38,Archetype Vietnam Ltd.
39,Công ty TNHH thiết bị viễn thông ANSV
40,MISA Jointstock Company
41,Công Ty TNHH Ariston Việt Nam
42,"Nexon Networks Vina Co. Ltd,"
43,Nakivo
44,"Danieli – Industrielle Beteiligung Co., Ltd"
45,HYUNDAI Kefico
46,The Representative Office of Four Hands LLC In Ho Chi Minh City
47,"Panasonic Vietnam Co.,LTD"
48,Công Ty Cổ Phần Meiko Automation
49,Công Ty TNHH Kuroda Kagaku Việt Nam
50,Citek Technology Joint-Stock Company
51,Công Ty TNHH Ô Tô Mitsubishi Việt Nam
52,Ngân Hàng TNHH MTV Woori Việt Nam
53,Sumitomo Mitsui Banking Corporation (SMBC)
54,Matson Navigation Inc.
55,Công ty TNHH Công nghệ Nguyên Lộc
56,Công ty Cổ phần Tập đoàn F.I.T
57,SPS Vietnam Company Ltd.
58,Teleperformance
59,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ TECHPRO
60,Công Ty Cổ Phần Đầu Tư Nam Long
61,Home Credit Vietnam - Explore Your Dream Team
62,"HDWEBSOFT Co., Ltd"
63,Kosatec Empowering Global Innovation
64,NAB Innovation Centre Vietnam
1232,Công ty Cổ phần Visaho
1233,Công ty TNHH Thương mại và giao nhận vận tải quốc tế Trang Huy
1234,CÔNG TY CỔ PHẦN THIẾT BỊ VÀ TRUYỀN THÔNG NGS
1235,CÔNG TY CỔ PHẦN SẢN XUẤT VÀ ĐẦU TƯ TRUNG DŨNG
1236,CÔNG TY TNHH VI TÍNH NGUYÊN KIM
1237,Công ty CP Chứng khoán SSI
1238,CÔNG TY TNHH THỂ THAO ONE SPORTS
1239,CÔNG TY CỔ PHẦN TẬP ĐOÀN WEE
74,CHI NHÁNH PHÂN PHỐI MIỀN BẮC – CÔNG TY TNHH ĐẦU TƯ & THƯƠNG MẠI THIÊN HẢI
75,Công Ty TNHH Kỹ Thuật Taikisha Việt Nam
76,Fastboy Marketing
77,Ngân Hàng TMCP Đại Chúng Việt Nam
78,Công Ty Cổ Phần Dịch Vụ Công Nghệ Tin Học HPT
79,CÔNG TY CP SÁNG TẠO & GIẢI PHÁP TRUYỀN THÔNG SỐ Á CHÂU
80,MCGAAW
81,Công Ty TNHH Công Nghệ Và Thương Mại Ánh Dương
82,Công Ty Cổ Phần Tư Vấn – Đầu Tư Và Phát Triển Bưu Điện Hà Nội (Hadic)
83,Yamaha Motor Vietnam
84,Công Ty TNHH Điện Tử Longcheer Meiko Việt Nam
85,Công Ty Cổ Phần Phần Mềm Seashore
86,CÔNG TY TNHH NSTAGE VIỆT NAM
